YearFlight,MonthFlight,DayofMonth,DayOfWeek,DepTime,ArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted
2011,2,25,5,2115.0,2318.0,CO,1758,N24706,123.0,104.0,-11.0,0.0,IAH,OMA,781,6.0,13.0,0,,0
2011,2,25,5,1325.0,1637.0,CO,1763,N76516,132.0,113.0,-5.0,0.0,IAH,PBI,956,4.0,15.0,0,,0
2011,2,25,5,956.0,1218.0,CO,1767,N37427,262.0,248.0,4.0,26.0,IAH,SEA,1874,4.0,10.0,0,,0
2011,2,25,5,1932.0,2345.0,CO,1776,N37408,193.0,156.0,24.0,27.0,IAH,PHL,1324,11.0,26.0,0,,0
2011,2,25,5,1752.0,1903.0,CO,1779,N38257,71.0,43.0,16.0,7.0,IAH,SAT,191,5.0,23.0,0,,0
2011,2,25,5,1708.0,1808.0,CO,1787,N17730,60.0,43.0,59.0,73.0,IAH,DFW,224,5.0,12.0,0,,0
2011,2,25,5,1409.0,1707.0,CO,1790,N14219,118.0,103.0,31.0,54.0,IAH,MIA,964,5.0,10.0,0,,0
2011,2,25,5,1806.0,1953.0,CO,1795,N57870,227.0,196.0,25.0,20.0,IAH,LAX,1379,13.0,18.0,0,,0
2011,2,25,5,1445.0,1649.0,CO,1821,N54711,244.0,211.0,20.0,-5.0,IAH,SNA,1347,6.0,27.0,0,,0
2011,2,25,5,1029.0,1135.0,CO,1823,N76515,66.0,47.0,-3.0,4.0,IAH,MSY,305,5.0,14.0,0,,0
2011,2,25,5,2001.0,2307.0,CO,1830,N24202,126.0,109.0,-12.0,6.0,IAH,PBI,956,4.0,13.0,0,,0
2011,2,25,5,1257.0,1735.0,CO,1832,N37273,218.0,177.0,88.0,82.0,IAH,LGA,1416,5.0,36.0,0,,0
2011,2,25,5,1321.0,1714.0,CO,1836,N78511,173.0,159.0,22.0,46.0,IAH,PHL,1324,5.0,9.0,0,,0
2011,2,25,5,1431.0,1802.0,CO,1844,N14628,151.0,130.0,-19.0,1.0,IAH,CLE,1091,6.0,15.0,0,,0
2011,2,25,5,1302.0,1638.0,CO,1850,N18622,156.0,126.0,-2.0,-1.0,IAH,RDU,1043,11.0,19.0,0,,0
2011,2,25,5,1859.0,2109.0,CO,1858,N59630,130.0,103.0,67.0,79.0,IAH,OMA,781,4.0,23.0,0,,0
2011,2,25,5,906.0,1212.0,CO,1873,N16701,126.0,102.0,-2.0,11.0,IAH,MCO,853,9.0,15.0,0,,0
2011,2,25,5,1129.0,1629.0,CO,1882,N14613,,,,-1.0,IAH,HDN,986,5.0,20.0,0,,1
2011,2,25,5,1804.0,2028.0,CO,1889,N12238,264.0,239.0,13.0,4.0,IAH,SMF,1609,3.0,22.0,0,,0
2011,2,24,4,930.0,1358.0,CO,1,N76065,508.0,487.0,8.0,5.0,IAH,HNL,3904,4.0,17.0,0,,0
2011,2,24,4,1748.0,1900.0,CO,5,N38268,72.0,45.0,11.0,8.0,IAH,MSY,305,7.0,20.0,0,,0
2011,2,24,4,1532.0,1636.0,CO,6,N14645,64.0,40.0,7.0,7.0,IAH,SAT,191,3.0,21.0,0,,0
2011,2,24,4,1542.0,1654.0,CO,33,N32404,72.0,50.0,5.0,2.0,IAH,MSY,305,4.0,18.0,0,,0
2011,2,24,4,1537.0,1634.0,CO,35,N12225,57.0,28.0,7.0,7.0,IAH,AUS,140,11.0,18.0,0,,0
2011,2,24,4,1910.0,2111.0,CO,47,N57857,241.0,205.0,18.0,0.0,IAH,LAX,1379,17.0,19.0,0,,0
